symbol,date,open,high,low,close,adj_close,volume,source
SP500,2017-01-30,2286.01,2286.01,2268.04,2280.8999,2280.8999,3595040000,yahoo
SP500,2017-01-31,2274.02,2279.0901,2267.21,2278.8701,2278.8701,4089730000,yahoo
SP500,2017-02-01,2285.5901,2289.1399,2272.4399,2279.55,2279.55,3919190000,yahoo
SP500,2017-02-02,2276.6899,2283.97,2271.6499,2280.8501,2280.8501,3809760000,yahoo
SP500,2017-02-03,2288.54,2298.3101,2287.8799,2297.4199,2297.4199,3605970000,yahoo
SP500,2017-02-06,2294.28,2296.1799,2288.5701,2292.5601,2292.5601,3112390000,yahoo
SP500,2017-02-07,2295.8701,2299.3999,2290.1599,2293.0801,2293.0801,3452460000,yahoo
SP500,2017-02-08,2289.55,2295.9099,2285.3799,2294.6699,2294.6699,3611950000,yahoo
SP500,2017-02-09,2296.7,2311.0801,2296.6101,2307.8701,2307.8701,3681600000,yahoo
SP500,2017-02-10,2312.27,2319.23,2311.1001,2316.1001,2316.1001,3496600000,yahoo
SP500,2017-02-13,2321.72,2331.5801,2321.4199,2328.25,2328.25,3352370000,yahoo
SP500,2017-02-14,2326.1201,2337.5801,2322.1699,2337.5801,2337.5801,3528040000,yahoo
SP500,2017-02-15,2335.5801,2351.3,2334.8101,2349.25,2349.25,3785870000,yahoo
SP500,2017-02-16,2349.6399,2351.3101,2338.8701,2347.22,2347.22,3675900000,yahoo
SP500,2017-02-17,2343.01,2351.1599,2339.5801,2351.1599,2351.1599,3516830000,yahoo
SP500,2017-02-21,2354.9099,2366.71,2354.9099,2365.3799,2365.3799,3587520000,yahoo
SP500,2017-02-22,2361.1101,2365.1299,2358.3401,2362.8201,2362.8201,3473170000,yahoo
SP500,2017-02-23,2367.5,2368.26,2355.0901,2363.8101,2363.8101,4021770000,yahoo
SP500,2017-02-24,2355.73,2367.3401,2352.8701,2367.3401,2367.3401,3832410000,yahoo
SP500,2017-02-27,2365.23,2371.54,2361.8701,2369.75,2369.75,3584680000,yahoo
SP500,2017-02-28,2366.0801,2367.79,2358.96,2363.6399,2363.6399,4212460000,yahoo
SP500,2017-03-01,2380.1299,2400.98,2380.1299,2395.96,2395.96,4347630000,yahoo
SP500,2017-03-02,2394.75,2394.75,2380.1699,2381.9199,2381.9199,3824030000,yahoo
SP500,2017-03-03,2380.9199,2383.8899,2375.3899,2383.1201,2383.1201,3556670000,yahoo
SP500,2017-03-06,2375.23,2378.8,2367.98,2375.3101,2375.3101,3251800000,yahoo
SP500,2017-03-07,2370.74,2375.1201,2365.51,2368.3899,2368.3899,3526300000,yahoo
SP500,2017-03-08,2369.8101,2373.0901,2361.01,2362.98,2362.98,3814080000,yahoo
SP500,2017-03-09,2363.49,2369.0801,2354.54,2364.8701,2364.8701,3718450000,yahoo
SP500,2017-03-10,2372.52,2376.8601,2363.04,2372.6001,2372.6001,3434400000,yahoo
SP500,2017-03-13,2371.5601,2374.4199,2368.52,2373.47,2373.47,3166650000,yahoo
SP500,2017-03-14,2368.55,2368.55,2358.1799,2365.45,2365.45,3173760000,yahoo
SP500,2017-03-15,2370.3401,2390.01,2368.9399,2385.26,2385.26,3909490000,yahoo
SP500,2017-03-16,2387.71,2388.1001,2377.1799,2381.3799,2381.3799,3368880000,yahoo
SP500,2017-03-17,2383.71,2385.71,2377.6399,2378.25,2378.25,5179820000,yahoo
SP500,2017-03-20,2378.24,2379.55,2369.6599,2373.47,2373.47,3061560000,yahoo
SP500,2017-03-21,2379.3201,2381.9299,2341.8999,2344.02,2344.02,4278890000,yahoo
SP500,2017-03-22,2343,2351.8101,2336.45,2348.45,2348.45,3575160000,yahoo
SP500,2017-03-23,2345.97,2358.9199,2342.1299,2345.96,2345.96,3262400000,yahoo
SP500,2017-03-24,2350.4199,2356.22,2335.74,2343.98,2343.98,2978530000,yahoo
SP500,2017-03-27,2329.1101,2344.8999,2322.25,2341.5901,2341.5901,3242300000,yahoo
SP500,2017-03-28,2339.79,2363.78,2337.6299,2358.5701,2358.5701,3369120000,yahoo
SP500,2017-03-29,2356.54,2363.3601,2352.9399,2361.1299,2361.1299,3107670000,yahoo
SP500,2017-03-30,2361.3101,2370.4199,2358.5801,2368.0601,2368.0601,3159680000,yahoo
SP500,2017-03-31,2364.8201,2370.3501,2362.6001,2362.72,2362.72,3356740000,yahoo
SP500,2017-04-03,2362.3401,2365.8701,2344.73,2358.8401,2358.8401,3418730000,yahoo
SP500,2017-04-04,2354.76,2360.53,2350.72,2360.1599,2360.1599,3208340000,yahoo
SP500,2017-04-05,2366.5901,2378.3601,2350.52,2352.95,2352.95,3780650000,yahoo
SP500,2017-04-06,2353.79,2364.1599,2348.8999,2357.49,2357.49,3203250000,yahoo
SP500,2017-04-07,2356.5901,2363.76,2350.74,2355.54,2355.54,3054700000,yahoo
SP500,2017-04-10,2357.1599,2366.3701,2351.5,2357.1599,2357.1599,2792570000,yahoo
SP500,2017-04-11,2353.9199,2355.22,2337.25,2353.78,2353.78,3120900000,yahoo
SP500,2017-04-12,2352.1499,2352.72,2341.1799,2344.9299,2344.9299,3201300000,yahoo
SP500,2017-04-13,2341.98,2348.26,2328.95,2328.95,2328.95,3146380000,yahoo
SP500,2017-04-17,2332.6201,2349.1399,2332.51,2349.01,2349.01,2826890000,yahoo
SP500,2017-04-18,2342.53,2348.3501,2334.54,2342.1899,2342.1899,3272210000,yahoo
SP500,2017-04-19,2346.79,2352.6299,2335.05,2338.1699,2338.1699,3521160000,yahoo
SP500,2017-04-20,2342.6899,2361.3701,2340.9099,2355.8401,2355.8401,3648990000,yahoo
SP500,2017-04-21,2354.74,2356.1799,2344.51,2348.6899,2348.6899,3524160000,yahoo
SP500,2017-04-24,2370.3301,2376.98,2369.1899,2374.1499,2374.1499,3711170000,yahoo
SP500,2017-04-25,2381.51,2392.48,2381.1499,2388.6101,2388.6101,4005820000,yahoo
SP500,2017-04-26,2388.98,2398.1599,2386.78,2387.45,2387.45,4111350000,yahoo
SP500,2017-04-27,2389.7,2392.1001,2382.6799,2388.77,2388.77,4099940000,yahoo
SP500,2017-04-28,2393.6799,2393.6799,2382.3601,2384.2,2384.2,3721350000,yahoo
SP500,2017-05-01,2388.5,2394.49,2384.8301,2388.3301,2388.3301,3201500000,yahoo
SP500,2017-05-02,2391.05,2392.9299,2385.8201,2391.1699,2391.1699,3861360000,yahoo
SP500,2017-05-03,2386.5,2389.8201,2379.75,2388.1299,2388.1299,3896760000,yahoo
SP500,2017-05-04,2389.79,2391.4299,2380.3501,2389.52,2389.52,4367860000,yahoo
SP500,2017-05-05,2392.3701,2399.29,2389.3799,2399.29,2399.29,3543240000,yahoo
SP500,2017-05-08,2399.9399,2401.3601,2393.9199,2399.3799,2399.3799,3429990000,yahoo
SP500,2017-05-09,2401.5801,2403.8701,2392.4399,2396.9199,2396.9199,3657840000,yahoo
SP500,2017-05-10,2396.79,2399.74,2392.79,2399.6299,2399.6299,3649370000,yahoo
SP500,2017-05-11,2394.8401,2395.72,2381.74,2394.4399,2394.4399,3727710000,yahoo
SP500,2017-05-12,2392.4399,2392.4399,2387.1899,2390.8999,2390.8999,3304620000,yahoo
SP500,2017-05-15,2393.98,2404.05,2393.9399,2402.3201,2402.3201,3490080000,yahoo
SP500,2017-05-16,2404.55,2405.77,2396.05,2400.6699,2400.6699,3421810000,yahoo
SP500,2017-05-17,2382.95,2384.8701,2356.21,2357.03,2357.03,4164760000,yahoo
SP500,2017-05-18,2354.6899,2375.74,2352.72,2365.72,2365.72,4319440000,yahoo
SP500,2017-05-19,2371.3701,2389.0601,2370.4299,2381.73,2381.73,3831700000,yahoo
SP500,2017-05-22,2387.21,2395.46,2386.9199,2394.02,2394.02,3176580000,yahoo
SP500,2017-05-23,2397.04,2400.8501,2393.8799,2398.4199,2398.4199,3216560000,yahoo
SP500,2017-05-24,2401.4099,2405.5801,2397.99,2404.3899,2404.3899,3389240000,yahoo
SP500,2017-05-25,2409.54,2418.71,2408.01,2415.0701,2415.0701,3538210000,yahoo
SP500,2017-05-26,2414.5,2416.6799,2412.2,2415.8201,2415.8201,2806930000,yahoo
SP500,2017-05-30,2411.6699,2415.26,2409.4299,2412.9099,2412.9099,3205860000,yahoo
SP500,2017-05-31,2415.6299,2415.99,2403.5901,2411.8,2411.8,4518040000,yahoo
SP500,2017-06-01,2415.6499,2430.0601,2413.54,2430.0601,2430.0601,3860620000,yahoo
SP500,2017-06-02,2431.28,2440.23,2427.71,2439.0701,2439.0701,3465500000,yahoo
SP500,2017-06-05,2437.8301,2439.55,2434.3201,2436.1001,2436.1001,2916720000,yahoo
SP500,2017-06-06,2431.9199,2436.21,2428.1201,2429.3301,2429.3301,3376750000,yahoo
SP500,2017-06-07,2432.03,2435.28,2424.75,2433.1399,2433.1399,3576220000,yahoo
SP500,2017-06-08,2434.27,2439.27,2427.9399,2433.79,2433.79,3735980000,yahoo
SP500,2017-06-09,2436.3899,2446.2,2415.7,2431.77,2431.77,4029860000,yahoo
SP500,2017-06-12,2425.8799,2430.3799,2419.97,2429.3899,2429.3899,4031840000,yahoo
SP500,2017-06-13,2434.1499,2441.49,2431.28,2440.3501,2440.3501,3278240000,yahoo
SP500,2017-06-14,2443.75,2443.75,2428.3401,2437.9199,2437.9199,3558640000,yahoo
SP500,2017-06-15,2424.1399,2433.95,2418.53,2432.46,2432.46,3371980000,yahoo
SP500,2017-06-16,2431.24,2433.1499,2422.8799,2433.1499,2433.1499,5299380000,yahoo
SP500,2017-06-19,2442.55,2453.8201,2441.79,2453.46,2453.46,3271480000,yahoo
SP500,2017-06-20,2450.6599,2450.6599,2436.6001,2437.03,2437.03,3422700000,yahoo
SP500,2017-06-21,2439.3101,2442.23,2430.74,2435.6101,2435.6101,3599190000,yahoo
SP500,2017-06-22,2437.3999,2441.6201,2433.27,2434.5,2434.5,3477250000,yahoo
SP500,2017-06-23,2434.6499,2441.3999,2431.1101,2438.3,2438.3,5282460000,yahoo
SP500,2017-06-26,2443.3201,2450.4199,2437.03,2439.0701,2439.0701,3243660000,yahoo
SP500,2017-06-27,2436.3401,2440.1499,2419.3799,2419.3799,2419.3799,3564770000,yahoo
SP500,2017-06-28,2428.7,2442.97,2428.02,2440.6899,2440.6899,3479980000,yahoo
SP500,2017-06-29,2442.3799,2442.73,2405.7,2419.7,2419.7,3869560000,yahoo
SP500,2017-06-30,2429.2,2432.71,2421.6499,2423.4099,2423.4099,3366030000,yahoo
SP500,2017-07-03,2431.3899,2439.1699,2428.6899,2429.01,2429.01,1901480000,yahoo
SP500,2017-07-05,2430.78,2434.8999,2422.05,2432.54,2432.54,3368150000,yahoo
SP500,2017-07-06,2423.4399,2424.28,2407.7,2409.75,2409.75,3368710000,yahoo
SP500,2017-07-07,2413.52,2426.9199,2413.52,2425.1799,2425.1799,2929390000,yahoo
SP500,2017-07-10,2424.51,2432,2422.27,2427.4299,2427.4299,3009880000,yahoo
SP500,2017-07-11,2427.3501,2429.3,2412.79,2425.53,2425.53,3108800000,yahoo
SP500,2017-07-12,2435.75,2445.76,2435.75,2443.25,2443.25,3176900000,yahoo
SP500,2017-07-13,2444.99,2449.3201,2441.6899,2447.8301,2447.8301,3068510000,yahoo
SP500,2017-07-14,2449.1599,2463.54,2446.6899,2459.27,2459.27,2738460000,yahoo
SP500,2017-07-17,2459.5,2462.8201,2457.1599,2459.1399,2459.1399,2800580000,yahoo
SP500,2017-07-18,2455.8799,2460.9199,2450.3401,2460.6101,2460.6101,2974090000,yahoo
SP500,2017-07-19,2463.8501,2473.8301,2463.8501,2473.8301,2473.8301,3063810000,yahoo
SP500,2017-07-20,2475.5601,2477.6201,2468.4299,2473.45,2473.45,3223820000,yahoo
SP500,2017-07-21,2467.3999,2472.54,2465.0601,2472.54,2472.54,3066880000,yahoo
SP500,2017-07-24,2472.04,2473.1001,2466.3201,2469.9099,2469.9099,3019920000,yahoo
SP500,2017-07-25,2477.8799,2481.24,2474.9099,2477.1299,2477.1299,4116360000,yahoo
SP500,2017-07-26,2479.97,2481.6899,2474.9399,2477.8301,2477.8301,3597830000,yahoo
SP500,2017-07-27,2482.76,2484.04,2459.9299,2475.4199,2475.4199,4035740000,yahoo
SP500,2017-07-28,2469.1201,2473.53,2464.6599,2472.1001,2472.1001,3302850000,yahoo
SP500,2017-07-31,2475.9399,2477.96,2468.53,2470.3,2470.3,3475930000,yahoo
SP500,2017-08-01,2477.1001,2478.51,2471.1399,2476.3501,2476.3501,3470260000,yahoo
SP500,2017-08-02,2480.3799,2480.3799,2466.48,2477.5701,2477.5701,3487150000,yahoo
SP500,2017-08-03,2476.03,2476.03,2468.8501,2472.1599,2472.1599,3662410000,yahoo
SP500,2017-08-04,2476.8799,2480,2472.0801,2476.8301,2476.8301,3239980000,yahoo
SP500,2017-08-07,2477.1399,2480.95,2475.8799,2480.9099,2480.9099,2935130000,yahoo
SP500,2017-08-08,2478.3501,2490.8701,2470.3201,2474.9199,2474.9199,3347480000,yahoo
SP500,2017-08-09,2465.3501,2474.4099,2462.0801,2474.02,2474.02,3310960000,yahoo
SP500,2017-08-10,2465.3799,2465.3799,2437.75,2438.21,2438.21,3635820000,yahoo
SP500,2017-08-11,2441.04,2448.0901,2437.8501,2441.3201,2441.3201,3161830000,yahoo
SP500,2017-08-14,2454.96,2468.22,2454.96,2465.8401,2465.8401,2824320000,yahoo
SP500,2017-08-15,2468.6599,2468.8999,2461.6101,2464.6101,2464.6101,2922430000,yahoo
SP500,2017-08-16,2468.6299,2474.9299,2463.8601,2468.1101,2468.1101,2956570000,yahoo
SP500,2017-08-17,2462.95,2465.02,2430.01,2430.01,2430.01,3164950000,yahoo
SP500,2017-08-18,2427.6399,2440.27,2420.6899,2425.55,2425.55,3426970000,yahoo
SP500,2017-08-21,2425.5,2430.5801,2417.3501,2428.3701,2428.3701,2803650000,yahoo
SP500,2017-08-22,2433.75,2454.77,2433.6699,2452.51,2452.51,2780990000,yahoo
SP500,2017-08-23,2444.8799,2448.9099,2441.4199,2444.04,2444.04,2796950000,yahoo
SP500,2017-08-24,2447.9099,2450.3899,2436.1899,2438.97,2438.97,2849680000,yahoo
SP500,2017-08-25,2444.72,2453.96,2442.22,2443.05,2443.05,2593350000,yahoo
SP500,2017-08-28,2447.3501,2449.1201,2439.03,2444.24,2444.24,2682920000,yahoo
SP500,2017-08-29,2431.9399,2449.1899,2428.2,2446.3,2446.3,2739460000,yahoo
SP500,2017-08-30,2446.0601,2460.3101,2443.77,2457.5901,2457.5901,2637780000,yahoo
SP500,2017-08-31,2462.6499,2475.01,2462.6499,2471.6499,2471.6499,3353860000,yahoo
SP500,2017-09-01,2474.4199,2480.3799,2473.8501,2476.55,2476.55,2712780000,yahoo
SP500,2017-09-05,2470.3501,2471.97,2446.55,2457.8501,2457.8501,3502190000,yahoo
SP500,2017-09-06,2463.8301,2469.6399,2459.2,2465.54,2465.54,3400200000,yahoo
SP500,2017-09-07,2468.0601,2468.6201,2460.29,2465.1001,2465.1001,3365780000,yahoo
SP500,2017-09-08,2462.25,2467.1101,2459.3999,2461.4299,2461.4299,3308360000,yahoo
SP500,2017-09-11,2474.52,2488.95,2474.52,2488.1101,2488.1101,3293460000,yahoo
SP500,2017-09-12,2491.9399,2496.77,2490.3701,2496.48,2496.48,3234280000,yahoo
SP500,2017-09-13,2493.8899,2498.3701,2492.1399,2498.3701,2498.3701,3371370000,yahoo
SP500,2017-09-14,2494.5601,2498.4299,2491.3501,2495.6201,2495.6201,3422470000,yahoo
SP500,2017-09-15,2495.6699,2500.23,2493.1599,2500.23,2500.23,4862970000,yahoo
SP500,2017-09-18,2502.51,2508.3201,2499.9199,2503.8701,2503.8701,3204700000,yahoo
SP500,2017-09-19,2506.29,2507.8401,2503.1899,2506.6499,2506.6499,3253760000,yahoo
SP500,2017-09-20,2506.8401,2508.8501,2496.6699,2508.24,2508.24,3584570000,yahoo
SP500,2017-09-21,2507.1599,2507.1599,2499,2500.6001,2500.6001,2965590000,yahoo
SP500,2017-09-22,2497.26,2503.47,2496.54,2502.22,2502.22,2877980000,yahoo
SP500,2017-09-25,2499.3899,2502.54,2488.03,2496.6599,2496.6599,3314530000,yahoo
SP500,2017-09-26,2501.04,2503.51,2495.1201,2496.8401,2496.8401,3070770000,yahoo
SP500,2017-09-27,2503.3,2511.75,2495.9099,2507.04,2507.04,3485070000,yahoo
SP500,2017-09-28,2503.4099,2510.8101,2502.9299,2510.0601,2510.0601,3173030000,yahoo
SP500,2017-09-29,2509.96,2519.4399,2507.99,2519.3601,2519.3601,3220260000,yahoo
SP500,2017-10-02,2521.2,2529.23,2520.3999,2529.1201,2529.1201,3226370000,yahoo
SP500,2017-10-03,2530.3401,2535.1299,2528.8501,2534.5801,2534.5801,3073480000,yahoo
SP500,2017-10-04,2533.48,2540.53,2531.8,2537.74,2537.74,3020770000,yahoo
SP500,2017-10-05,2540.8601,2552.51,2540.02,2552.0701,2552.0701,3059730000,yahoo
SP500,2017-10-06,2547.4399,2549.4099,2543.79,2549.3301,2549.3301,2898270000,yahoo
SP500,2017-10-09,2551.3899,2551.8201,2541.6001,2544.73,2544.73,2486940000,yahoo
SP500,2017-10-10,2549.99,2555.23,2544.8601,2550.6399,2550.6399,2962610000,yahoo
SP500,2017-10-11,2550.6201,2555.24,2547.95,2555.24,2555.24,2991320000,yahoo
SP500,2017-10-12,2552.8799,2555.3301,2548.3101,2550.9299,2550.9299,3157280000,yahoo
SP500,2017-10-13,2555.6599,2557.6499,2552.0901,2553.1699,2553.1699,3150470000,yahoo
SP500,2017-10-16,2555.5701,2559.47,2552.6399,2557.6399,2557.6399,2918030000,yahoo
SP500,2017-10-17,2557.1699,2559.71,2554.6899,2559.3601,2559.3601,2901890000,yahoo
SP500,2017-10-18,2562.8701,2564.1101,2559.6699,2561.26,2561.26,2999320000,yahoo
SP500,2017-10-19,2553.3899,2562.3601,2547.9199,2562.1001,2562.1001,3019520000,yahoo
SP500,2017-10-20,2567.5601,2575.4399,2567.5601,2575.21,2575.21,3394450000,yahoo
SP500,2017-10-23,2578.0801,2578.29,2564.3301,2564.98,2564.98,3214470000,yahoo
SP500,2017-10-24,2568.6599,2572.1799,2565.5801,2569.1299,2569.1299,3435660000,yahoo
SP500,2017-10-25,2566.52,2567.3999,2544,2557.1499,2557.1499,3885470000,yahoo
SP500,2017-10-26,2560.0801,2567.0701,2559.8,2560.3999,2560.3999,3891750000,yahoo
SP500,2017-10-27,2570.26,2582.98,2565.9399,2581.0701,2581.0701,3896100000,yahoo
SP500,2017-10-30,2577.75,2580.03,2568.25,2572.8301,2572.8301,3660230000,yahoo
SP500,2017-10-31,2575.99,2578.29,2572.1499,2575.26,2575.26,3844420000,yahoo
SP500,2017-11-01,2583.21,2588.3999,2574.9199,2579.3601,2579.3601,3841200000,yahoo
SP500,2017-11-02,2579.46,2581.1101,2566.1699,2579.8501,2579.8501,4050140000,yahoo
SP500,2017-11-03,2581.9299,2588.4199,2576.77,2587.8401,2587.8401,3568710000,yahoo
SP500,2017-11-06,2587.47,2593.3799,2585.6599,2591.1299,2591.1299,3541970000,yahoo
SP500,2017-11-07,2592.1101,2597.02,2584.3501,2590.6399,2590.6399,3815190000,yahoo
SP500,2017-11-08,2588.71,2595.47,2585.02,2594.3799,2594.3799,3898450000,yahoo
SP500,2017-11-09,2584,2586.5,2566.3301,2584.6201,2584.6201,3844100000,yahoo
SP500,2017-11-10,2580.1799,2583.8101,2575.5701,2582.3,2582.3,3489740000,yahoo
SP500,2017-11-13,2576.53,2587.6599,2574.48,2584.8401,2584.8401,3405200000,yahoo
SP500,2017-11-14,2577.75,2579.6599,2566.5601,2578.8701,2578.8701,3643580000,yahoo
SP500,2017-11-15,2569.45,2572.8401,2557.45,2564.6201,2564.6201,3586590000,yahoo
SP500,2017-11-16,2572.95,2590.0901,2572.95,2585.6399,2585.6399,3329730000,yahoo
SP500,2017-11-17,2582.9399,2583.96,2577.6201,2578.8501,2578.8501,3309800000,yahoo
SP500,2017-11-20,2579.49,2584.6399,2578.24,2582.1399,2582.1399,3023940000,yahoo
SP500,2017-11-21,2589.1699,2601.1899,2589.1699,2599.03,2599.03,3351230000,yahoo
SP500,2017-11-22,2600.3101,2600.9399,2595.23,2597.0801,2597.0801,2764110000,yahoo
SP500,2017-11-24,2600.4199,2604.21,2600.4199,2602.4199,2602.4199,1385890000,yahoo
SP500,2017-11-27,2602.6599,2606.4099,2598.8701,2601.4199,2601.4199,3017720000,yahoo
SP500,2017-11-28,2605.9399,2627.6899,2605.4399,2627.04,2627.04,3493340000,yahoo
SP500,2017-11-29,2627.8201,2634.8899,2620.3201,2626.0701,2626.0701,4090630000,yahoo
SP500,2017-11-30,2633.9299,2657.74,2633.9299,2647.5801,2647.5801,4965700000,yahoo
SP500,2017-12-01,2645.1001,2650.6201,2605.52,2642.22,2642.22,3950930000,yahoo
SP500,2017-12-04,2657.1899,2665.1899,2639.03,2639.4399,2639.4399,4025840000,yahoo
SP500,2017-12-05,2639.78,2648.72,2627.73,2629.5701,2629.5701,3547570000,yahoo
SP500,2017-12-06,2626.24,2634.4099,2624.75,2629.27,2629.27,3253080000,yahoo
SP500,2017-12-07,2628.3799,2640.99,2626.53,2636.98,2636.98,3297060000,yahoo
SP500,2017-12-08,2646.21,2651.6499,2644.1001,2651.5,2651.5,3126750000,yahoo
SP500,2017-12-11,2652.1899,2660.3301,2651.47,2659.99,2659.99,3141480000,yahoo
SP500,2017-12-12,2661.73,2669.72,2659.78,2664.1101,2664.1101,3568910000,yahoo
SP500,2017-12-13,2667.5901,2671.8799,2662.8501,2662.8501,2662.8501,3568360000,yahoo
SP500,2017-12-14,2665.8701,2668.0901,2652.01,2652.01,2652.01,3442760000,yahoo
SP500,2017-12-15,2660.6299,2679.6299,2659.1399,2675.8101,2675.8101,5736910000,yahoo
SP500,2017-12-18,2685.9199,2694.97,2685.9199,2690.1599,2690.1599,3727770000,yahoo
SP500,2017-12-19,2692.71,2694.4399,2680.74,2681.47,2681.47,3407680000,yahoo
SP500,2017-12-20,2688.1799,2691.01,2676.1101,2679.25,2679.25,3246230000,yahoo
SP500,2017-12-21,2683.02,2692.6399,2682.3999,2684.5701,2684.5701,3293130000,yahoo
SP500,2017-12-22,2684.22,2685.3501,2678.1299,2683.3401,2683.3401,2401030000,yahoo
SP500,2017-12-26,2679.0901,2682.74,2677.96,2680.5,2680.5,1970660000,yahoo
SP500,2017-12-27,2682.1001,2685.6399,2678.9099,2682.6201,2682.6201,2202900000,yahoo
SP500,2017-12-28,2686.1001,2687.6599,2682.6899,2687.54,2687.54,2174890000,yahoo
SP500,2017-12-29,2689.1499,2692.1201,2673.6101,2673.6101,2673.6101,2447760000,yahoo
USDINR,2017-01-02,67.9448,68.24,67.9,67.9448,67.9448,0,yahoo
USDINR,2017-01-03,68.135,68.43,68.038,68.1339,68.1339,0,yahoo
USDINR,2017-01-04,68.27,68.28,67.9345,68.2698,68.2698,0,yahoo
USDINR,2017-01-05,67.885,67.9905,67.715,67.8855,67.8855,0,yahoo
USDINR,2017-01-09,68.1326,68.273,68.09,68.1426,68.1426,0,yahoo
USDINR,2017-01-10,68.0944,68.264,67.978,68.097,68.097,0,yahoo
USDINR,2017-01-11,68.315,68.493,68.168,68.318,68.318,0,yahoo
USDINR,2017-01-12,68.14,68.188,67.95,68.14,68.14,0,yahoo
USDINR,2017-01-13,68.13,68.27,68.07,68.1295,68.1295,0,yahoo
USDINR,2017-01-16,68.1578,68.27,68.06,68.1578,68.1578,0,yahoo
USDINR,2017-01-17,68.095,68.148,67.903,68.0946,68.0946,0,yahoo
USDINR,2017-01-18,67.8905,68.11,67.88,67.8995,67.8995,0,yahoo
USDINR,2017-01-19,68.2255,68.29,68.08,68.198,68.198,0,yahoo
USDINR,2017-01-20,68.09,68.27,68.01,68.0903,68.0903,0,yahoo
USDINR,2017-01-23,68.0722,68.213,67.99,68.0772,68.0772,0,yahoo
USDINR,2017-01-24,68.0555,68.17,68.0353,68.0514,68.0514,0,yahoo
USDINR,2017-01-25,68.1647,68.183,68.03,68.1645,68.1645,0,yahoo
USDINR,2017-01-26,67.9655,68.222,67.96,67.973,67.973,0,yahoo
USDINR,2017-01-27,68.1455,68.225,68.008,68.149,68.149,0,yahoo
USDINR,2017-01-31,67.8255,67.893,67.32,67.821,67.821,0,yahoo
USDINR,2017-02-01,67.4694,67.678,67.4053,67.5016,67.5016,0,yahoo
USDINR,2017-02-02,67.395,67.498,67.1683,67.3954,67.3954,0,yahoo
USDINR,2017-02-03,67.2656,67.42,67.03,67.2656,67.2656,0,yahoo
USDINR,2017-02-06,67.1682,67.24,67.11,67.1573,67.1573,0,yahoo
USDINR,2017-02-07,67.195,67.45,67.1946,67.1953,67.1953,0,yahoo
USDINR,2017-02-08,67.35,67.39,66.935,67.3405,67.3405,0,yahoo
USDINR,2017-02-09,66.955,67.065,66.65,66.9643,66.9643,0,yahoo
USDINR,2017-02-10,66.735,66.975,66.735,66.7453,66.7453,0,yahoo
USDINR,2017-02-13,66.8407,67.033,66.82,66.8437,66.8437,0,yahoo
USDINR,2017-02-14,66.9417,66.975,66.76,66.9154,66.9154,0,yahoo
USDINR,2017-02-15,66.775,66.9783,66.775,66.7759,66.7759,0,yahoo
USDINR,2017-02-16,66.875,67.075,66.85,66.8655,66.8655,0,yahoo
USDINR,2017-02-17,67.165,67.165,66.98,67.1648,67.1648,0,yahoo
USDINR,2017-02-20,67.0655,67.095,66.88,67.0652,67.0652,0,yahoo
USDINR,2017-02-21,66.97,67.005,66.92,66.965,66.965,0,yahoo
USDINR,2017-02-22,66.965,67.005,66.87,66.9651,66.9651,0,yahoo
USDINR,2017-02-23,66.895,66.97,66.64,66.9143,66.9143,0,yahoo
USDINR,2017-02-24,66.6828,66.71,66.52,66.6828,66.6828,0,yahoo
USDINR,2017-02-27,66.635,66.763,66.635,66.635,66.635,0,yahoo
USDINR,2017-02-28,66.735,66.808,66.59,66.6932,66.6932,0,yahoo
USDINR,2017-03-01,66.705,66.89,66.7046,66.7051,66.7051,0,yahoo
USDINR,2017-03-02,66.69,66.858,66.67,66.858,66.858,0,yahoo
USDINR,2017-03-03,66.845,66.885,66.74,66.8451,66.8451,0,yahoo
USDINR,2017-03-06,66.71,66.78,66.6,66.773,66.773,0,yahoo
USDINR,2017-03-07,66.645,66.695,66.58,66.6647,66.6647,0,yahoo
USDINR,2017-03-08,66.625,66.83,66.613,66.6162,66.6162,0,yahoo
USDINR,2017-03-09,66.815,66.853,66.6,66.765,66.765,0,yahoo
USDINR,2017-03-10,66.71,66.77,66.5398,66.6805,66.6805,0,yahoo
USDINR,2017-03-13,66.485,66.58,66.11,66.485,66.485,0,yahoo
USDINR,2017-03-14,66.1575,66.24,65.7275,66.1701,66.1701,0,yahoo
USDINR,2017-03-15,65.765,65.7817,65.4,65.7751,65.7751,0,yahoo
USDINR,2017-03-16,65.6205,65.6285,65.21,65.6205,65.6205,0,yahoo
USDINR,2017-03-17,65.365,65.643,65.35,65.4045,65.4045,0,yahoo
USDINR,2017-03-20,65.4681,65.47,65.3,65.4681,65.4681,0,yahoo
USDINR,2017-03-21,65.305,65.44,65.18,65.3353,65.3353,0,yahoo
USDINR,2017-03-22,65.56,65.585,65.337,65.495,65.495,0,yahoo
USDINR,2017-03-23,65.37,65.55,65.365,65.365,65.365,0,yahoo
USDINR,2017-03-24,65.425,65.505,65.34,65.4444,65.4444,0,yahoo
USDINR,2017-03-27,65.418,65.418,64.93,65.3931,65.3931,0,yahoo
USDINR,2017-03-28,64.988,65.14,64.988,65.045,65.045,0,yahoo
USDINR,2017-03-29,65.14,65.14,64.81,65.11,65.11,0,yahoo
USDINR,2017-03-30,64.858,64.98,64.74,64.78,64.78,0,yahoo
