symbol,date,open,high,low,close,adj_close,volume,source
NIKKEI,2007-08-23,16093.8203,16333.3604,16093.8203,16316.3203,16316.3203,118200000,yahoo
NIKKEI,2007-08-24,16286.0098,16329.96,16188.0801,16248.9697,16248.9697,102800000,yahoo
NIKKEI,2007-08-27,16429.0098,16504.7207,16263.9502,16301.3896,16301.3896,91600000,yahoo
NIKKEI,2007-08-28,16214.0898,16343.2803,16192.8398,16287.4902,16287.4902,83800000,yahoo
NIKKEI,2007-08-29,16068.0996,16068.0996,15830.2803,16012.8301,16012.8301,112000000,yahoo
NIKKEI,2007-08-30,16182.0898,16269.6602,16091.2803,16153.8203,16153.8203,97200000,yahoo
NIKKEI,2007-08-31,16270.9902,16569.0898,16266.2305,16569.0898,16569.0898,119500000,yahoo
NIKKEI,2007-09-03,16511.0703,16575.9707,16452.7402,16524.9297,16524.9297,96700000,yahoo
NIKKEI,2007-09-04,16445.7305,16511.6406,16392.2109,16420.4707,16420.4707,86500000,yahoo
NIKKEI,2007-09-05,16506.1094,16553.2207,16154.9004,16158.4502,16158.4502,114100000,yahoo
NIKKEI,2007-09-06,16003.8799,16257,15840.0498,16257,16257,141200000,yahoo
NIKKEI,2007-09-07,16179.7803,16230.5801,16027.9297,16122.1602,16122.1602,101100000,yahoo
NIKKEI,2007-09-10,15906.5195,15906.5195,15651.8301,15764.9697,15764.9697,115300000,yahoo
NIKKEI,2007-09-11,15787.8604,15940.3799,15610.6504,15877.6699,15877.6699,111000000,yahoo
NIKKEI,2007-09-12,15978.7803,16032.2598,15731.3203,15797.5996,15797.5996,111000000,yahoo
NIKKEI,2007-09-13,15886.7598,15931.0898,15802.3604,15821.1904,15821.1904,101500000,yahoo
NIKKEI,2007-09-14,15895.0498,16142.0801,15877.0898,16127.4199,16127.4199,173000000,yahoo
NIKKEI,2007-09-18,16037.4902,16037.4902,15780.9004,15801.7998,15801.7998,101000000,yahoo
NIKKEI,2007-09-19,16038.1201,16386.1699,16038.1201,16381.54,16381.54,112300000,yahoo
NIKKEI,2007-09-20,16474.6602,16491.4492,16344.2803,16413.7891,16413.7891,120800000,yahoo
NIKKEI,2007-09-21,16284.4297,16353.9697,16245.9404,16312.6104,16312.6104,123000000,yahoo
NIKKEI,2007-09-25,16317.1904,16434.8008,16240.2598,16401.7305,16401.7305,118000000,yahoo
NIKKEI,2007-09-26,16388.5098,16457.7207,16388.5098,16435.7402,16435.7402,103800000,yahoo
NIKKEI,2007-09-27,16551.9395,16868.9395,16551.9395,16832.2207,16832.2207,126800000,yahoo
NIKKEI,2007-09-28,16903.6406,16929.2598,16755.2109,16785.6895,16785.6895,111600000,yahoo
NIKKEI,2007-10-01,16773.0996,16899.8398,16685.8008,16845.9609,16845.9609,108600000,yahoo
NIKKEI,2007-10-02,17027.9199,17072.6699,16986.3809,17046.7793,17046.7793,136100000,yahoo
NIKKEI,2007-10-03,17066.1406,17205.4199,17017.7695,17199.8906,17199.8906,148100000,yahoo
NIKKEI,2007-10-04,17085.3203,17160.4707,17043.7598,17092.4902,17092.4902,129300000,yahoo
NIKKEI,2007-10-05,17070.6094,17144.3496,17032.75,17065.0391,17065.0391,97300000,yahoo
NIKKEI,2007-10-09,17166.1699,17237.4004,17133.5195,17159.9004,17159.9004,104600000,yahoo
NIKKEI,2007-10-10,17231.1406,17254.5195,17146.3906,17177.8906,17177.8906,101900000,yahoo
NIKKEI,2007-10-11,17188.8105,17488.9707,17154.75,17458.9805,17458.9805,133100000,yahoo
NIKKEI,2007-10-12,17417.9395,17441.75,17280.5996,17331.1699,17331.1699,127000000,yahoo
NIKKEI,2007-10-15,17399.6699,17430.0898,17292.1309,17358.1504,17358.1504,97000000,yahoo
NIKKEI,2007-10-16,17267.0703,17283.0508,17104.1992,17137.9199,17137.9199,114500000,yahoo
NIKKEI,2007-10-17,17114.1992,17114.1992,16795.7402,16955.3105,16955.3105,150700000,yahoo
NIKKEI,2007-10-18,16974.6895,17147.7305,16974.6895,17106.0898,17106.0898,113800000,yahoo
NIKKEI,2007-10-19,16965,16965,16711.5703,16814.3691,16814.3691,111700000,yahoo
NIKKEI,2007-10-22,16563.5703,16563.5703,16264.7002,16438.4707,16438.4707,122100000,yahoo
NIKKEI,2007-10-23,16486.7109,16554.9102,16416.9199,16450.5801,16450.5801,90400000,yahoo
NIKKEI,2007-10-24,16518,16578.5898,16330.3301,16358.3896,16358.3896,109200000,yahoo
NIKKEI,2007-10-25,16368.0195,16438.5703,16199.0195,16284.1699,16284.1699,111600000,yahoo
NIKKEI,2007-10-26,16358.6104,16505.6309,16348.8604,16505.6309,16505.6309,110300000,yahoo
NIKKEI,2007-10-29,16613.3008,16774.1797,16613.3008,16698.0801,16698.0801,122000000,yahoo
NIKKEI,2007-10-30,16655.3105,16682.8691,16492.5605,16651.0098,16651.0098,149300000,yahoo
NIKKEI,2007-10-31,16620.5898,16738.9805,16552.5391,16737.6309,16737.6309,144700000,yahoo
NIKKEI,2007-11-01,16812.9004,16887.0391,16795.5508,16870.4004,16870.4004,144900000,yahoo
NIKKEI,2007-11-02,16647.4004,16654.7305,16484.5391,16517.4805,16517.4805,148200000,yahoo
NIKKEI,2007-11-05,16458.1406,16458.1406,16211.79,16268.9199,16268.9199,142700000,yahoo
NIKKEI,2007-11-06,16152.5801,16353.9297,16144.4004,16249.6299,16249.6299,138700000,yahoo
NIKKEI,2007-11-07,16325.1797,16326.5801,16081.0303,16096.6797,16096.6797,136100000,yahoo
NIKKEI,2007-11-08,15889.0303,15891.2305,15626.0596,15771.5703,15771.5703,161200000,yahoo
NIKKEI,2007-11-09,15675.4805,15834.9697,15566.1201,15583.4199,15583.4199,160400000,yahoo
NIKKEI,2007-11-12,15377.3701,15386.7998,14998.5098,15197.0898,15197.0898,158500000,yahoo
NIKKEI,2007-11-13,15148.1602,15235.5596,14988.7695,15126.6299,15126.6299,151000000,yahoo
NIKKEI,2007-11-14,15311.3799,15504.9902,15287.2598,15499.5596,15499.5596,139000000,yahoo
NIKKEI,2007-11-15,15536.3496,15587.3096,15396.2998,15396.2998,15396.2998,129800000,yahoo
NIKKEI,2007-11-16,15238.7305,15238.7305,15030.0195,15154.6104,15154.6104,118800000,yahoo
NIKKEI,2007-11-19,15177.1699,15302.7598,15040.0996,15042.5596,15042.5596,125500000,yahoo
NIKKEI,2007-11-20,14868.9805,15222.2402,14751.2695,15211.5195,15211.5195,184600000,yahoo
NIKKEI,2007-11-21,15113.8301,15154.3096,14770.2197,14837.6602,14837.6602,149100000,yahoo
NIKKEI,2007-11-22,14726.6201,15000.1797,14669.8496,14888.7695,14888.7695,161200000,yahoo
NIKKEI,2007-11-26,14921.5703,15295.21,14912.8301,15135.21,15135.21,145900000,yahoo
NIKKEI,2007-11-27,14953.9297,15312.5498,14801.8701,15222.8496,15222.8496,159100000,yahoo
NIKKEI,2007-11-28,15271.1396,15280.9102,15089.3496,15153.7803,15153.7803,134200000,yahoo
NIKKEI,2007-11-29,15339.6104,15555.04,15339.6104,15513.7402,15513.7402,129800000,yahoo
NIKKEI,2007-11-30,15520.5303,15751.2002,15520.5303,15680.6699,15680.6699,171200000,yahoo
NIKKEI,2007-12-03,15747.4697,15799.6904,15577.6904,15628.9697,15628.9697,137500000,yahoo
NIKKEI,2007-12-04,15613.8896,15683.1797,15446.4697,15480.1904,15480.1904,124200000,yahoo
NIKKEI,2007-12-05,15418.9502,15621.54,15365.3896,15608.8799,15608.8799,136900000,yahoo
NIKKEI,2007-12-06,15782.4004,15898.2598,15740.9404,15874.0801,15874.0801,129300000,yahoo
NIKKEI,2007-12-07,15992.2402,16107.6504,15948.54,15956.3701,15956.3701,146100000,yahoo
NIKKEI,2007-12-10,16007.3301,16017.1396,15826.25,15924.3896,15924.3896,116200000,yahoo
NIKKEI,2007-12-11,16003.0898,16075.6104,15972.4502,16044.7197,16044.7197,102700000,yahoo
NIKKEI,2007-12-12,15828.6504,15963.4297,15700.1504,15932.2598,15932.2598,142900000,yahoo
NIKKEI,2007-12-13,15818.4805,15833.0996,15532.5303,15536.5195,15536.5195,140900000,yahoo
NIKKEI,2007-12-14,15547.1904,15697.0498,15433.7695,15514.5098,15514.5098,200100000,yahoo
NIKKEI,2007-12-17,15433.2998,15508.5,15219.0703,15249.79,15249.79,113200000,yahoo
NIKKEI,2007-12-18,15099.2002,15301.6904,15004.4102,15207.8604,15207.8604,139800000,yahoo
NIKKEI,2007-12-19,15165.0898,15267.75,15030.5098,15030.5098,15030.5098,118200000,yahoo
NIKKEI,2007-12-20,15151.3701,15161.6602,15017.9697,15031.5996,15031.5996,108500000,yahoo
NIKKEI,2007-12-21,15044.3496,15275.6104,14998.0098,15257,15257,135400000,yahoo
NIKKEI,2007-12-25,15441.3301,15583.3896,15441.3301,15552.5898,15552.5898,90700000,yahoo
NIKKEI,2007-12-26,15613.96,15653.54,15559.4697,15653.54,15653.54,93900000,yahoo
NIKKEI,2007-12-27,15616.4102,15628.3096,15535.5098,15564.6904,15564.6904,93000000,yahoo
NIKKEI,2007-12-28,15413.3701,15413.3701,15240.96,15307.7803,15307.7803,61300000,yahoo
SP500,2007-01-03,1418.03,1429.42,1407.86,1416.6,1416.6,3429160000,yahoo
SP500,2007-01-04,1416.6,1421.84,1408.4301,1418.34,1418.34,3004460000,yahoo
SP500,2007-01-05,1418.34,1418.34,1405.75,1409.71,1409.71,2919400000,yahoo
SP500,2007-01-08,1409.26,1414.98,1403.97,1412.84,1412.84,2763340000,yahoo
SP500,2007-01-09,1412.84,1415.61,1405.42,1412.11,1412.11,3038380000,yahoo
SP500,2007-01-10,1408.7,1415.99,1405.3199,1414.85,1414.85,2764660000,yahoo
SP500,2007-01-11,1414.84,1427.12,1414.84,1423.8199,1423.8199,2857870000,yahoo
SP500,2007-01-12,1423.8199,1431.23,1422.58,1430.73,1430.73,2686480000,yahoo
SP500,2007-01-16,1430.73,1433.9301,1428.62,1431.9,1431.9,2599530000,yahoo
SP500,2007-01-17,1431.77,1435.27,1428.5699,1430.62,1430.62,2690270000,yahoo
SP500,2007-01-18,1430.59,1432.96,1424.21,1426.37,1426.37,2822430000,yahoo
SP500,2007-01-19,1426.35,1431.5699,1425.1899,1430.5,1430.5,2777480000,yahoo
SP500,2007-01-22,1430.47,1431.39,1420.4,1422.95,1422.95,2540120000,yahoo
SP500,2007-01-23,1422.95,1431.33,1421.66,1427.99,1427.99,2975070000,yahoo
SP500,2007-01-24,1427.96,1440.14,1427.96,1440.13,1440.13,2783180000,yahoo
SP500,2007-01-25,1440.12,1440.6899,1422.34,1423.9,1423.9,2994330000,yahoo
SP500,2007-01-26,1423.9,1427.27,1416.96,1422.1801,1422.1801,2626620000,yahoo
SP500,2007-01-29,1422.03,1426.9399,1418.46,1420.62,1420.62,2730480000,yahoo
SP500,2007-01-30,1420.61,1428.8199,1420.61,1428.8199,1428.8199,2706250000,yahoo
SP500,2007-01-31,1428.65,1441.61,1424.78,1438.24,1438.24,2976690000,yahoo
SP500,2007-02-01,1437.9,1446.64,1437.9,1445.9399,1445.9399,2914890000,yahoo
SP500,2007-02-02,1445.9399,1449.33,1444.49,1448.39,1448.39,2569450000,yahoo
SP500,2007-02-05,1448.33,1449.38,1443.85,1446.99,1446.99,2439430000,yahoo
SP500,2007-02-06,1446.98,1450.1899,1443.4,1448,1448,2608710000,yahoo
SP500,2007-02-07,1447.41,1452.99,1446.4399,1450.02,1450.02,2618820000,yahoo
SP500,2007-02-08,1449.99,1450.45,1442.8101,1448.3101,1448.3101,2816180000,yahoo
SP500,2007-02-09,1448.25,1452.45,1433.4399,1438.0601,1438.0601,2951810000,yahoo
SP500,2007-02-12,1438,1439.11,1431.4399,1433.37,1433.37,2395680000,yahoo
SP500,2007-02-13,1433.22,1444.41,1433.22,1444.26,1444.26,2652150000,yahoo
SP500,2007-02-14,1443.91,1457.65,1443.91,1455.3,1455.3,2699290000,yahoo
SP500,2007-02-15,1455.15,1457.97,1453.1899,1456.8101,1456.8101,2490920000,yahoo
SP500,2007-02-16,1456.77,1456.77,1451.5699,1455.54,1455.54,2399450000,yahoo
SP500,2007-02-20,1455.53,1460.53,1449.2,1459.6801,1459.6801,2337860000,yahoo
SP500,2007-02-21,1459.6,1459.6,1452.02,1457.63,1457.63,2606980000,yahoo
SP500,2007-02-22,1457.29,1461.5699,1450.51,1456.38,1456.38,1950770000,yahoo
SP500,2007-02-23,1456.22,1456.22,1448.36,1451.1899,1451.1899,2579950000,yahoo
SP500,2007-02-26,1451.04,1456.95,1445.48,1449.37,1449.37,2822170000,yahoo
SP500,2007-02-27,1449.25,1449.25,1389.42,1399.04,1399.04,4065230000,yahoo
SP500,2007-02-28,1398.64,1415.89,1396.65,1406.8199,1406.8199,3925250000,yahoo
SP500,2007-03-01,1406.8,1409.46,1380.87,1403.17,1403.17,3874910000,yahoo
SP500,2007-03-02,1403.16,1403.4,1386.87,1387.17,1387.17,3312260000,yahoo
SP500,2007-03-05,1387.11,1391.86,1373.97,1374.12,1374.12,3480520000,yahoo
SP500,2007-03-06,1374.0601,1397.9,1374.0601,1395.41,1395.41,3358160000,yahoo
SP500,2007-03-07,1395.02,1401.16,1390.64,1391.97,1391.97,3141350000,yahoo
SP500,2007-03-08,1391.88,1407.9301,1391.88,1401.89,1401.89,3014850000,yahoo
SP500,2007-03-09,1401.89,1410.15,1397.3,1402.84,1402.84,2623050000,yahoo
SP500,2007-03-12,1402.8,1409.34,1398.4,1406.6,1406.6,2664000000,yahoo
SP500,2007-03-13,1406.23,1406.23,1377.71,1377.95,1377.95,3485570000,yahoo
SP500,2007-03-14,1377.86,1388.09,1363.98,1387.17,1387.17,3758350000,yahoo
SP500,2007-03-15,1387.11,1395.73,1385.16,1392.28,1392.28,2821900000,yahoo
SP500,2007-03-16,1392.28,1397.51,1383.63,1386.95,1386.95,3393640000,yahoo
SP500,2007-03-19,1386.95,1403.2,1386.95,1402.0601,1402.0601,2777180000,yahoo
SP500,2007-03-20,1402.04,1411.53,1400.7,1410.9399,1410.9399,2795940000,yahoo
SP500,2007-03-21,1410.92,1437.77,1409.75,1435.04,1435.04,3184770000,yahoo
SP500,2007-03-22,1435.04,1437.66,1429.88,1434.54,1434.54,3129970000,yahoo
SP500,2007-03-23,1434.54,1438.89,1433.21,1436.11,1436.11,2619020000,yahoo
SP500,2007-03-26,1436.11,1437.65,1423.28,1437.5,1437.5,2754660000,yahoo
SP500,2007-03-27,1437.49,1437.49,1425.54,1428.61,1428.61,2673040000,yahoo
SP500,2007-03-28,1428.35,1428.35,1414.0699,1417.23,1417.23,3000440000,yahoo
SP500,2007-03-29,1417.17,1426.24,1413.27,1422.53,1422.53,2854710000,yahoo
SP500,2007-03-30,1422.52,1429.22,1408.9,1420.86,1420.86,2903960000,yahoo
SP500,2007-04-02,1420.83,1425.49,1416.37,1424.55,1424.55,2875880000,yahoo
SP500,2007-04-03,1424.27,1440.5699,1424.27,1437.77,1437.77,2921760000,yahoo
SP500,2007-04-04,1437.75,1440.16,1435.08,1439.37,1439.37,2616320000,yahoo
SP500,2007-04-05,1438.9399,1444.88,1436.67,1443.76,1443.76,2357230000,yahoo
SP500,2007-04-09,1443.77,1448.1,1443.28,1444.61,1444.61,2349410000,yahoo
SP500,2007-04-10,1444.58,1448.73,1443.99,1448.39,1448.39,2510110000,yahoo
SP500,2007-04-11,1448.23,1448.39,1436.15,1438.87,1438.87,2950190000,yahoo
SP500,2007-04-12,1438.87,1448.02,1433.91,1447.8,1447.8,2770570000,yahoo
SP500,2007-04-13,1447.8,1453.11,1444.15,1452.85,1452.85,2690020000,yahoo
SP500,2007-04-16,1452.84,1468.62,1452.84,1468.33,1468.33,2870140000,yahoo
SP500,2007-04-17,1468.47,1474.35,1467.15,1471.48,1471.48,2920570000,yahoo
SP500,2007-04-18,1471.47,1476.5699,1466.41,1472.5,1472.5,2971330000,yahoo
SP500,2007-04-19,1472.48,1474.23,1464.47,1470.73,1470.73,2913610000,yahoo
SP500,2007-04-20,1470.6899,1484.74,1470.6899,1484.35,1484.35,3329940000,yahoo
SP500,2007-04-23,1484.33,1487.3199,1480.1899,1480.9301,1480.9301,2575020000,yahoo
SP500,2007-04-24,1480.9301,1483.8199,1473.74,1480.41,1480.41,3119750000,yahoo
SP500,2007-04-25,1480.28,1496.59,1480.28,1495.42,1495.42,3252590000,yahoo
SP500,2007-04-26,1495.27,1498.02,1491.17,1494.25,1494.25,3211800000,yahoo
SP500,2007-04-27,1494.21,1497.3199,1488.67,1494.0699,1494.0699,2732810000,yahoo
SP500,2007-04-30,1494.0699,1497.16,1482.29,1482.37,1482.37,3093420000,yahoo
SP500,2007-05-01,1482.37,1487.27,1476.7,1486.3,1486.3,3400350000,yahoo
SP500,2007-05-02,1486.13,1499.1,1486.13,1495.92,1495.92,3189800000,yahoo
SP500,2007-05-03,1495.5601,1503.34,1495.5601,1502.39,1502.39,3007970000,yahoo
SP500,2007-05-04,1502.35,1510.34,1501.8,1505.62,1505.62,2761930000,yahoo
SP500,2007-05-07,1505.5699,1511,1505.54,1509.48,1509.48,2545090000,yahoo
SP500,2007-05-08,1509.36,1509.36,1500.66,1507.72,1507.72,2795720000,yahoo
SP500,2007-05-09,1507.3199,1513.8,1503.77,1512.58,1512.58,2935550000,yahoo
SP500,2007-05-10,1512.33,1512.33,1491.42,1491.47,1491.47,3031240000,yahoo
SP500,2007-05-11,1491.47,1506.24,1491.47,1505.85,1505.85,2720780000,yahoo
SP500,2007-05-14,1505.76,1510.9,1498.34,1503.15,1503.15,2776130000,yahoo
SP500,2007-05-15,1503.11,1514.83,1500.4301,1501.1899,1501.1899,3071020000,yahoo
SP500,2007-05-16,1500.75,1514.15,1500.75,1514.14,1514.14,2915350000,yahoo
SP500,2007-05-17,1514.01,1517.14,1509.29,1512.75,1512.75,2868640000,yahoo
SP500,2007-05-18,1512.74,1522.75,1512.74,1522.75,1522.75,2959050000,yahoo
SP500,2007-05-21,1522.75,1529.87,1522.71,1525.1,1525.1,3465360000,yahoo
SP500,2007-05-22,1525.1,1529.24,1522.05,1524.12,1524.12,2860500000,yahoo
SP500,2007-05-23,1524.09,1532.4301,1521.9,1522.28,1522.28,3084260000,yahoo
SP500,2007-05-24,1522.1,1529.3101,1505.1801,1507.51,1507.51,3365530000,yahoo
SP500,2007-05-25,1507.5,1517.41,1507.5,1515.73,1515.73,2316250000,yahoo
SP500,2007-05-29,1515.55,1521.8,1512.02,1518.11,1518.11,2571790000,yahoo
SP500,2007-05-30,1517.6,1530.23,1510.0601,1530.23,1530.23,2980210000,yahoo
SP500,2007-05-31,1530.1899,1535.5601,1528.26,1530.62,1530.62,3335530000,yahoo
SP500,2007-06-01,1530.62,1540.5601,1530.62,1536.34,1536.34,2927020000,yahoo
SP500,2007-06-04,1536.28,1540.53,1532.3101,1539.1801,1539.1801,2738930000,yahoo
SP500,2007-06-05,1539.12,1539.12,1525.62,1530.95,1530.95,2939450000,yahoo
SP500,2007-06-06,1530.5699,1530.5699,1514.13,1517.38,1517.38,2964190000,yahoo
SP500,2007-06-07,1517.36,1517.36,1490.37,1490.72,1490.72,3538470000,yahoo
SP500,2007-06-08,1490.71,1507.76,1487.41,1507.67,1507.67,2993460000,yahoo
SP500,2007-06-11,1507.64,1515.53,1503.35,1509.12,1509.12,2525280000,yahoo
SP500,2007-06-12,1509.12,1511.33,1492.97,1493,1493,3056200000,yahoo
SP500,2007-06-13,1492.65,1515.7,1492.65,1515.67,1515.67,3077930000,yahoo
SP500,2007-06-14,1515.58,1526.45,1515.58,1522.97,1522.97,2813630000,yahoo
SP500,2007-06-15,1522.97,1538.71,1522.97,1532.91,1532.91,3406030000,yahoo
SP500,2007-06-18,1532.9,1535.4399,1529.3101,1531.05,1531.05,2480240000,yahoo
SP500,2007-06-19,1531.02,1535.85,1525.67,1533.7,1533.7,2873590000,yahoo
SP500,2007-06-20,1533.6801,1537.3199,1512.36,1512.84,1512.84,3286900000,yahoo
SP500,2007-06-21,1512.5,1522.9,1504.75,1522.1899,1522.1899,3161110000,yahoo
SP500,2007-06-22,1522.1899,1522.1899,1500.74,1502.5601,1502.5601,4284320000,yahoo
SP500,2007-06-25,1502.5601,1514.29,1492.6801,1497.74,1497.74,3287250000,yahoo
SP500,2007-06-26,1497.6801,1506.12,1490.54,1492.89,1492.89,3398530000,yahoo
SP500,2007-06-27,1492.62,1506.8,1484.1801,1506.34,1506.34,3398150000,yahoo
SP500,2007-06-28,1506.3199,1514.84,1503.41,1505.71,1505.71,3006710000,yahoo
SP500,2007-06-29,1505.7,1517.53,1493.61,1503.35,1503.35,3165410000,yahoo
SP500,2007-07-02,1504.66,1519.45,1504.66,1519.4301,1519.4301,2648990000,yahoo
SP500,2007-07-03,1519.12,1526.01,1519.12,1524.87,1524.87,1560790000,yahoo
SP500,2007-07-05,1524.86,1526.5699,1517.72,1525.4,1525.4,2622950000,yahoo
SP500,2007-07-06,1524.96,1532.4,1520.47,1530.4399,1530.4399,2441520000,yahoo
SP500,2007-07-09,1530.4301,1534.26,1527.45,1531.85,1531.85,2715330000,yahoo
SP500,2007-07-10,1531.85,1531.85,1510.01,1510.12,1510.12,3244280000,yahoo
SP500,2007-07-11,1509.9301,1519.34,1506.1,1518.76,1518.76,3082920000,yahoo
SP500,2007-07-12,1518.74,1547.92,1518.74,1547.7,1547.7,3489600000,yahoo
SP500,2007-07-13,1547.6801,1555.1,1544.85,1552.5,1552.5,2801120000,yahoo
SP500,2007-07-16,1552.5,1555.9,1546.6899,1549.52,1549.52,2704110000,yahoo
SP500,2007-07-17,1549.52,1555.3199,1547.74,1549.37,1549.37,3007140000,yahoo
SP500,2007-07-18,1549.2,1549.2,1533.67,1546.17,1546.17,3609220000,yahoo
SP500,2007-07-19,1546.13,1555.2,1546.13,1553.08,1553.08,3251450000,yahoo
SP500,2007-07-20,1553.1899,1553.1899,1529.2,1534.1,1534.1,3745780000,yahoo
SP500,2007-07-23,1534.0601,1547.23,1534.0601,1541.5699,1541.5699,3102700000,yahoo
SP500,2007-07-24,1541.5699,1541.5699,1508.62,1511.04,1511.04,4115830000,yahoo
SP500,2007-07-25,1511.03,1524.3101,1503.73,1518.09,1518.09,4283200000,yahoo
SP500,2007-07-26,1518.09,1518.09,1465.3,1482.66,1482.66,4472550000,yahoo
SP500,2007-07-27,1482.4399,1488.53,1458.95,1458.95,1458.95,4784650000,yahoo
SP500,2007-07-30,1458.9301,1477.88,1454.3199,1473.91,1473.91,4128780000,yahoo
SP500,2007-07-31,1473.9,1488.3,1454.25,1455.27,1455.27,4524520000,yahoo
SP500,2007-08-01,1455.1801,1468.38,1439.59,1465.8101,1465.8101,5256780000,yahoo
SP500,2007-08-02,1465.46,1476.4301,1460.58,1472.2,1472.2,4368850000,yahoo
SP500,2007-08-03,1472.1801,1473.23,1432.8,1433.0601,1433.0601,4272110000,yahoo
SP500,2007-08-06,1433.04,1467.67,1427.39,1467.67,1467.67,5067200000,yahoo
SP500,2007-08-07,1467.62,1488.3,1455.8,1476.71,1476.71,4909390000,yahoo
SP500,2007-08-08,1476.22,1503.89,1476.22,1497.49,1497.49,5499560000,yahoo
SP500,2007-08-09,1497.21,1497.21,1453.09,1453.09,1453.09,5889600000,yahoo
SP500,2007-08-10,1453.09,1462.02,1429.74,1453.64,1453.64,5345780000,yahoo
SP500,2007-08-13,1453.42,1466.29,1451.54,1452.92,1452.92,3696280000,yahoo
SP500,2007-08-14,1452.87,1456.74,1426.2,1426.54,1426.54,3814630000,yahoo
SP500,2007-08-15,1426.15,1440.78,1404.36,1406.7,1406.7,4290930000,yahoo
SP500,2007-08-16,1406.64,1415.97,1370.6,1411.27,1411.27,6509300000,yahoo
SP500,2007-08-17,1411.26,1450.33,1411.26,1445.9399,1445.9399,3570040000,yahoo
SP500,2007-08-20,1445.9399,1451.75,1430.54,1445.55,1445.55,3321340000,yahoo
SP500,2007-08-21,1445.55,1455.3199,1439.76,1447.12,1447.12,3012150000,yahoo
SP500,2007-08-22,1447.03,1464.86,1447.03,1464.0699,1464.0699,3309120000,yahoo
SP500,2007-08-23,1464.05,1472.0601,1453.88,1462.5,1462.5,3084390000,yahoo
SP500,2007-08-24,1462.34,1479.4,1460.54,1479.37,1479.37,2541400000,yahoo
SP500,2007-08-27,1479.36,1479.36,1465.98,1466.79,1466.79,2406180000,yahoo
SP500,2007-08-28,1466.72,1466.72,1432.01,1432.36,1432.36,3078090000,yahoo
SP500,2007-08-29,1432.01,1463.76,1432.01,1463.76,1463.76,2824070000,yahoo
SP500,2007-08-30,1463.67,1468.4301,1451.25,1457.64,1457.64,2582960000,yahoo
SP500,2007-08-31,1457.61,1481.47,1457.61,1473.99,1473.99,2731610000,yahoo
SP500,2007-09-04,1473.96,1496.4,1472.15,1489.42,1489.42,2766600000,yahoo
SP500,2007-09-05,1488.76,1488.76,1466.34,1472.29,1472.29,2991600000,yahoo
SP500,2007-09-06,1472.03,1481.49,1467.41,1478.55,1478.55,2459590000,yahoo
SP500,2007-09-07,1478.55,1478.55,1449.0699,1453.55,1453.55,3191080000,yahoo
SP500,2007-09-10,1453.5,1462.25,1439.29,1451.7,1451.7,2835720000,yahoo
SP500,2007-09-11,1451.6899,1472.48,1451.6899,1471.49,1471.49,3015330000,yahoo
SP500,2007-09-12,1471.1,1479.5,1465.75,1471.5601,1471.5601,2885720000,yahoo
SP500,2007-09-13,1471.47,1489.58,1471.47,1483.95,1483.95,2877080000,yahoo
SP500,2007-09-14,1483.95,1485.99,1473.1801,1484.25,1484.25,2641740000,yahoo
SP500,2007-09-17,1484.24,1484.24,1471.8199,1476.65,1476.65,2598390000,yahoo
SP500,2007-09-18,1476.63,1519.89,1476.63,1519.78,1519.78,3708940000,yahoo
SP500,2007-09-19,1519.75,1538.74,1519.75,1529.03,1529.03,3846750000,yahoo
SP500,2007-09-20,1528.6899,1529.14,1516.42,1518.75,1518.75,2957700000,yahoo
SP500,2007-09-21,1518.75,1530.89,1518.75,1525.75,1525.75,3679460000,yahoo
SP500,2007-09-24,1525.75,1530.1801,1516.15,1517.73,1517.73,3131310000,yahoo
SP500,2007-09-25,1516.34,1518.27,1507.13,1517.21,1517.21,3187770000,yahoo
SP500,2007-09-26,1518.62,1529.39,1518.62,1525.42,1525.42,3237390000,yahoo
SP500,2007-09-27,1527.3199,1532.46,1525.8101,1531.38,1531.38,2872180000,yahoo
SP500,2007-09-28,1531.24,1533.74,1521.99,1526.75,1526.75,2925350000,yahoo
SP500,2007-10-01,1527.29,1549.02,1527.25,1547.04,1547.04,3281990000,yahoo
SP500,2007-10-02,1546.96,1548.01,1540.37,1546.63,1546.63,3101910000,yahoo
SP500,2007-10-03,1545.8,1545.84,1536.34,1539.59,1539.59,3065320000,yahoo
SP500,2007-10-04,1539.91,1544.02,1537.63,1542.84,1542.84,2690430000,yahoo
SP500,2007-10-05,1543.84,1561.91,1543.84,1557.59,1557.59,2919030000,yahoo
SP500,2007-10-08,1556.51,1556.51,1549,1552.58,1552.58,2040650000,yahoo
SP500,2007-10-09,1553.1801,1565.26,1551.8199,1565.15,1565.15,2932040000,yahoo
SP500,2007-10-10,1564.98,1565.42,1555.46,1562.47,1562.47,3044760000,yahoo
SP500,2007-10-11,1564.72,1576.09,1546.72,1554.41,1554.41,3911260000,yahoo
SP500,2007-10-12,1555.41,1563.03,1554.09,1561.8,1561.8,2788690000,yahoo
SP500,2007-10-15,1562.25,1564.74,1540.8101,1548.71,1548.71,3139290000,yahoo
SP500,2007-10-16,1547.8101,1547.8101,1536.29,1538.53,1538.53,3234560000,yahoo
SP500,2007-10-17,1544.4399,1550.66,1526.01,1541.24,1541.24,3638070000,yahoo
SP500,2007-10-18,1539.29,1542.79,1531.76,1540.08,1540.08,3203210000,yahoo
